scope,id,line,term,hit_tokens,rules,lemma_guess,confidence,meaning,status,wrong_count,review_streak,dismissed
??,P9-1481,1415,cosmetics,cosmetics,-s,cosmetic,?,n. 化妆品；美容品；“cosmetic”的复数；,,0,,0
??,P9-1482,1752,critics,critics,-s,critic,?,n. 评论家；批评人士；,,0,,0
??,P9-1483,27,crocodiles,crocodiles,-s,crocodile,?,n. 鳄鱼；“crocodile”的复数；,learning,2,0,0
??,P9-1489,759,employers,employers,-s,employer,?,n. 雇主；“employer”的复数；,,0,,0
??,P9-1501,409,ingredients,ingredients,-s,ingredient,?,n. 材料；组成部分；“ingredient”的复数；,,0,,0
??,P9-1529,1685,peanuts,peanuts,-s,peanut,?,n.花生,,0,,0
??,P9-1548,144,claws,claws,-s,claw,?,n. 爪子；爪子（claw 的复数）；,,0,,0
??,P9-1568,137,sandglasses,sandglasses,-es,sandglass,?,n. 沙漏（复数形式）,,0,,0
??,P9-1574,1958,sexes,sexes,-es,sex,?,n.性别,,0,,0
??,P9-1576,268,cuttings,cuttings,-s,cutting,?,n. 剪辑；,,0,,0
??,P9-1577,1157,tablets,tablets,-s,tablet,?,n. 药片；平板电脑；石碑；,,0,,0
??,P9-1578,458,sunglasses,sunglasses,-es,sunglass,?,n. 太阳镜；墨镜,,0,,0
??,P9-1580,1581,beetles,beetles,-s,beetle,?,n.甲虫,,0,,0
??,P9-1582,1301,submarines,submarines,-s,submarine,?,n. 潜水艇,,0,,0
??,P9-1583,578,predators,predators,-s,predator,?,n. 食肉动物；“predator”的复数；,,0,,0
??,P9-1590,1736,biology lessons,lessons,-s,lesson,?,phrase. 生物课；生物学课程,,0,,0
??,P9-1591,1146,bottle tops,tops,-s,top,?,phrase. 瓶盖,,0,,0
??,P9-1600,2030,collect the fees,fees,-s,fee,?,phrase. 收取费用；收集款项,,0,,0
??,P9-1606,1505,Faces of China,Faces,-s,face,?,phrase. 中国的面貌；中国人的面孔；中国社会的多元面孔,,0,,0
??,P9-1607,1235,First Class Movers,Movers,-s,mover,?,phrase. 一流的搬家公司；顶级的搬迁服务提供商,,0,,0
??,P9-1615,164,health problems,problems,-s,problem,?,phrase. 健康问题；身体或心理上的疾病或不适,,0,,0
??,P9-1616,1507,in City Gardens,Gardens,-s,garden,?,phrase. 在城市花园中；在城市园林里,,0,,0
??,P9-1620,819,local papers,papers,-s,paper,?,phrase. 地方报纸；本地报刊,,0,,0
??,P9-1625,1502,national holidays,holidays,-s,holiday,?,phrase. 国家法定节假日,,0,,0
??,P9-1631,653,old clothes,clothes,plural-only,,?,phrase. 旧衣服,,0,,0
??,P9-1632,596,passport photos,photos,-s,photo,?,phrase. 护照照片,,0,,0
??,P9-1639,1309,safety rules,rules,-s,rule,?,phrase. 安全条例,,0,,0
??,P9-1642,247,set of dictionaries,dictionaries,-ies,dictionary,?,phrase. 一套词典；字典集合,,0,,0
??,P9-1647,1738,supervise the teams,teams,-s,team,?,phrase. 监督团队；管理团队工作,,0,,0
??,P9-1648,856,team leaders,leaders,-s,leader,?,phrase. 领队；团队领导,,0,,0
??,P9-1655,892,Three Lives,Lives,irregular,life,?,phrase. 三条生命（life 的复数形式，指多个生命或生命数量）,,0,,0
??,P9-1659,25,Undersea Worlds,Worlds,-s,world,?,phrase. 海底世界；水下世界（指海洋深处的生态环境或幻想中的水下国度）,mastered,1,2,0
??,P9-1663,1558,yoga classes,classes,-es,class,?,phrase. 瑜伽课程；指教授瑜伽练习的系列课堂,,0,,0
??,P9-1664,850,young children,children,irregular,child,?,phrase. 小孩,,0,,0
??,P9-1669,973,collecting data,data,irregular,datum,?,phrase. 收集数据；采集信息,,0,,0
??,P9-1671,1394,department stores,stores,-s,store,?,phrase. 百货商店；大型零售商店，内部分为多个商品部门,,0,,0
??,P9-1678,1444,interest rates,rates,-s,rate,?,phrase. 利率,,0,,0
??,P9-1681,1734,media room,media,irregular,medium,?,phrase. 媒体室,,0,,0
??,P9-1684,1085,overdue ones,ones,-s,one,?,phrase. 逾期的；过期未付的；迟到的；延误的 + pron. 那些（指代前文提到的复数事物）,,0,,0
??,P9-1687,200,resources room,resources,-s,resource,?,phrase. 资源室；资料室；资源教室（学校中为特殊需求学生提供额外教学资源或辅助材料的专用教室）,,0,,0
??,P9-1691,395,telephone interviews,interviews,-s,interview,?,phrase. 电话访谈；电话面试,,0,,0
??,P9-1692,589,two modules,modules,-s,module,?,phrase. 两个模块,,0,,0
??,P9-1693,2033,units of measurement,units,-s,unit,?,phrase. 计量单位；测量单位,,0,,0
??,P9-1696,229,academic circles,circles,-s,circle,?,phrase. 学术界,,0,,0
??,P9-1697,389,attack humans,humans,-s,human,?,phrase. 袭击人类,,0,,0
??,P9-1698,310,business cards,cards,-s,card,?,phrase. 名片,,0,,0
??,P9-1699,463,children's education,children's,-s,children',?,phrase. 儿童教育,,0,,0
??,P9-1700,1478,choice of facilities,facilities,-ies,facility,?,phrase. 设施的选择；可选用的设施选项,,0,,0
??,P9-1702,1556,early twenties,twenties,-ies,twenty,?,phrase. 二十出头的年龄阶段，通常指20到24岁之间,,0,,0
??,P9-1705,2054,illegal profits,profits,-s,profit,?,phrase. 非法利润；违法所得,,0,,0
??,P9-1706,620,incineration plants,plants,-s,plant,?,phrase. 垃圾焚烧厂；废物焚化设施,,0,,0
??,P9-1707,225,individual customers,customers,-s,customer,?,phrase. 个人客户；个体消费者,,0,,0
??,P9-1708,1871,low-risk investments,investments,-s,investment,?,phrase. 低风险的投资；指波动小、本金损失概率低的投资产品,,0,,0
??,P9-1712,1450,side effects,effects,-s,effect,?,phrase. 副作用；附带效应,,0,,0
??,P9-1714,1907,Sound effects,effects,-s,effect,?,phrase. 音效；音响效果（常用于电影、广播或游戏中模拟真实或虚构的声音）,,0,,0
??,P9-1720,1890,mass media,media,irregular,medium,?,phrase. 大众传播媒介,,0,,0
??,P9-1722,1694,most lecture rooms,rooms,-s,room,?,phrase. 大多数教室；大部分讲堂,,0,,0
??,P9-1724,337,halls of residence,halls,-s,hall,?,phrase. 学生宿舍；大学宿舍（供学生住宿的房屋或建筑群）,,0,,0
??,P9-1730,1612,radio signals,signals,-s,signal,?,phrase. 无线电信号,,0,,0
??,P9-1735,149,silver coins,coins,-s,coin,?,phrase. 银币,,0,,0
??,P9-1736,684,small rockets,rockets,-s,rocket,?,phrase. 小型火箭（复数）,,0,,0
??,P9-1737,1963,smaller areas,areas,-s,area,?,phrase. 较小的区域,,0,,0
??,P9-1740,236,sports center,sports,-s,sport,?,phrase. 体育中心,,0,,0
??,P9-1742,358,towns and cities,"towns, cities","-s, -ies","town, city",?,phrase. 城镇和城市（复数形式，泛指不同规模的人类聚居地）,,0,,0
??,P9-1745,1197,wealthy people,people,irregular,person,?,phrase. 富人；有钱人,,0,,0
??,P9-1754,1084,business studies,studies,-ies,study,?,phrase. 商学,,0,,0
??,P9-1756,1139,chemical contaminants,contaminants,-s,contaminant,?,phrase. 化学污染物,,0,,0
??,P9-1761,943,developing countries,countries,-ies,country,?,phrase. 发展中国家,,0,,0
??,P9-1767,453,food prices,prices,-s,price,?,phrase. 食品价格；食物的售价,,0,,0
??,P9-1773,1013,high car taxes,taxes,-es,tax,?,phrase. 高额汽车税,,0,,0
??,P9-1775,799,higher seats,seats,-s,seat,?,phrase. 更高的座位,,0,,0
??,P9-1782,113,living expenses,expenses,-s,expense,?,phrase. 生活费用；日常开销,,0,,0
??,P9-1785,2051,migration patterns,patterns,-s,pattern,?,phrase. 迁移模式,,0,,0
??,P9-1788,1163,new facts,facts,-s,fact,?,phrase. 新事实；新发现的事实,,0,,0
??,P9-1792,1090,tennis courts,courts,-s,court,?,phrase. 网球场（复数）,,0,,0
??,P9-1793,1717,early mornings,mornings,-s,morning,?,phrase. 清晨；一大早；早晨的早期时段,,0,,0
??,P9-1798,678,Saturday mornings,mornings,-s,morning,?,phrase. 星期六的早晨,,0,,0
??,P9-1801,1592,social events,events,-s,event,?,phrase. 社交活动；社会事件,,0,,0
??,P9-1805,1471,fish dishes,dishes,-es,dish,?,phrase. 鱼类菜肴；以鱼为主要食材的菜品,,0,,0
??,P9-1810,2034,online services,services,-s,service,?,phrase. 在线服务,,0,,0
??,P9-1812,1314,object matters,matters,-s,matter,?,phrase. 客观事物；对象问题；物质事项,,0,,0
??,P9-1813,20,The origins,origins,-s,origin,?,phrase. 起源；来源；起始（复数形式）,mastered,0,0,0
??,P9-1814,514,other planets,planets,-s,planet,?,phrase. 其他行星；别的星球,,0,,0
??,P9-1818,608,harmful insects,insects,-s,insect,?,phrase. 有害的昆虫,,0,,0
??,P9-1824,241,abstract ideas,ideas,-s,idea,?,phrase. 抽象的概念；指非具体、不可直接感知的思想或观念,,0,,0
??,P9-1842,1491,rubber wheels,wheels,-s,wheel,?,phrase. 橡胶轮胎；橡胶轮子,,0,,0
??,P9-1844,1400,teaching methods,methods,-s,method,?,phrase. 教学方法；教授方式,,0,,0
??,P9-1846,265,petrol stations,stations,-s,station,?,phrase. 汽车加油站；“petrol station”的复数,,0,,0
??,P9-1847,1390,sun's position,sun's,-s,sun',?,phrase. 太阳的位置,,0,,0
??,P9-1852,559,sleeping problems,problems,-s,problem,?,phrase. 睡眠问题；指影响正常入睡、睡眠维持或睡眠质量的各种障碍或困扰,,0,,0
??,P9-1860,1044,two copies,copies,-ies,copy,?,phrase. 两份副本；两份拷贝,,0,,0
